R,l,n_grid,c,gamma
31,4,16,4.104038067918381,0.3558302402071995
31,5,32,12.27054365352086,0.41277441410786425
31,6,64,17.123569160759416,0.4013645925291202
31,7,128,19.81354202352486,0.3830189942766304
31,8,256,27.115380189025018,0.37765215819903947
31,9,512,30.645930097904056,0.3656727036089182
31,10,1024,36.36619774589781,0.35810451632909096
32,1,2,0.104155182266509,0.02603879556662725
32,2,4,0.20378263022649534,0.11285572377666965
32,3,8,1.9482630020902967,0.3122404779791045
32,4,16,4.802570523082082,0.3700909339650729
32,5,32,2.4600916529313963,0.29931622977644545
32,6,64,0.194487824414864,0.19029267816022644
32,7,128,16.458619394805282,0.3730014282134114
32,8,256,25.625417958515754,0.37499361957161476
32,9,512,30.20015238210908,0.3650778363823218
32,10,1024,39.110819197492674,0.36071956612724515
33,1,2,0.00104697866373904,0.00026174466593476
33,2,4,0.05023534011837505,0.05603310412067531
33,3,8,0.40419540705804025,0.1848433369133948
33,4,16,1.5618152664400782,0.27947786993812357
33,5,32,8.084341006778686,0.37972477507141533
33,6,64,18.5345379243372,0.4066963760539886
33,7,128,21.112382226277987,0.38650900293623264
33,8,256,28.36708859013015,0.3797885385965861
33,9,512,33.759792933706194,0.369625738981123
33,10,1024,45.954628015402704,0.3665835175507546
34,1,2,0.20671752956046396,0.05167938239011599
34,2,4,0.4034411433449261,0.15879254220226427
34,3,8,1.0462024441597038,0.253792384077405
34,4,16,3.585027110613808,0.3440037047463321
34,5,32,12.201917359518006,0.4123116674926554
34,6,64,29.263461424537354,0.4388616428739291
34,7,128,15.692281278754308,0.3704693696519422
34,8,256,22.36880694447609,0.3686764197262174
34,9,512,27.012764120241627,0.3605813279474064
34,10,1024,38.99214456451591,0.36060996262671485
35,1,2,0.08361037497486157,0.020902593743715392
35,2,4,0.11171744404161998,0.08356039882983594
35,3,8,0.7211753613790677,0.22419209858899283
35,4,16,1.2345201645093482,0.2635205909147688
35,5,32,1.6494146726022336,0.2763159656700209
35,6,64,21.31500918140182,0.4162819650905247
35,7,128,22.225448173938275,0.38935631849971347
35,8,256,29.699047341171536,0.3819731388612898
35,9,512,33.98723325875471,0.36990160014672857
35,10,1024,41.71009547368158,0.3630480655859497
36,1,2,0.15731216874348664,0.03932804218587166
36,2,4,0.6351614002337582,0.19924253440119127
36,3,8,1.497506566382075,0.2860199021951379
36,4,16,5.953122002299523,0.3905046452737009
36,5,32,7.379789099554614,0.37286257869992045
36,6,64,11.668430189564788,0.37650904515953826
36,7,128,21.1634947567145,0.38664253991641473
36,8,256,31.86060594672017,0.3853423686258571
36,9,512,36.63047961599659,0.37299267079610293
36,10,1024,43.44265190081205,0.36452862841977685
37,1,2,0.05663400296271481,0.014158500740678703
37,2,4,0.020822287688940122,0.03607482474744344
37,3,8,0.7820793675042097,0.23033341761026582
37,4,16,0.6289218238350287,0.2226328136386329
37,5,32,0.04241254624037083,0.13287365391348574
